iter	Logloss
0	0.6302354267
1	0.5707186463
2	0.53478545
3	0.5103126017
4	0.4902594873
5	0.4691569048
6	0.4541662504
7	0.4423013206
8	0.4342254165
9	0.426755997
10	0.4215216804
11	0.4172340794
12	0.4128601596
13	0.4092742584
14	0.4064445778
15	0.403337618
16	0.4000543104
17	0.3962637208
18	0.3938895855
19	0.3918659595
20	0.3900692995
21	0.3881037551
22	0.3862891793
23	0.3846791239
24	0.3832432378
25	0.381750837
26	0.3803584308
27	0.3790496687
28	0.3778371987
29	0.3766473422
30	0.3756749038
31	0.3737386428
32	0.3729355095
33	0.3720470419
34	0.3711346371
35	0.3704255957
36	0.3696665555
37	0.368752436
38	0.3678927187
39	0.3666064284
40	0.3659684401
41	0.364159448
42	0.363409284
43	0.3627085133
44	0.3621200694
45	0.3616623748
46	0.3612716534
47	0.3599037667
48	0.3590277359
49	0.3584217906
50	0.3579241614
51	0.3574664098
52	0.3568290871
53	0.3557214804
54	0.3553970636
55	0.3550349833
56	0.3545971258
57	0.3537824446
58	0.3528908585
59	0.3524563059
60	0.3518841815
61	0.3509715411
62	0.3506830468
63	0.3502849361
64	0.3499883729
65	0.3497258926
66	0.349456254
67	0.3491946782
68	0.3482968027
69	0.3479170592
70	0.3475393541
71	0.3471525047
72	0.3469116365
73	0.3465906848
74	0.3461488014
75	0.3459048733
76	0.3456143175
77	0.3454485084
78	0.344991011
79	0.3446888241
80	0.3443410465
81	0.3431515259
82	0.3429518789
83	0.3427702879
84	0.3422826551
85	0.3420422891
86	0.3417390992
87	0.3415141392
88	0.3410881671
89	0.3409635669
90	0.3406592507
91	0.3404370471
92	0.3393311552
93	0.3390741646
94	0.338598505
95	0.3380158018
96	0.3378652954
97	0.3374945452
98	0.3372313038
99	0.3368436378
100	0.3366158397
101	0.3364555881
102	0.3362820382
103	0.3359829806
104	0.3357899234
105	0.3354605561
106	0.3350606412
107	0.334835125
108	0.3346063239
109	0.3344070405
110	0.3341651985
111	0.333825818
112	0.33342957
113	0.3329544419
114	0.3327412501
115	0.3325918315
116	0.3320578267
117	0.3318020456
118	0.3314681347
119	0.3311655072
120	0.3309380127
121	0.3305877144
122	0.3303085848
123	0.3299984554
124	0.3296249596
125	0.3292308347
126	0.3289188795
127	0.3286007536
128	0.3269807619
129	0.3266978513
130	0.3264587042
131	0.3262248417
132	0.3260153478
133	0.3257597392
134	0.3254590623
135	0.3240095991
136	0.3238198113
137	0.3234636428
138	0.3230839593
139	0.3228795899
140	0.3226675013
141	0.3223070126
142	0.321945097
143	0.3217054383
144	0.321497576
145	0.3212276385
146	0.3210191569
147	0.3209394463
148	0.3207277383
149	0.3206660529
150	0.3203356919
151	0.3200901398
152	0.3198768371
153	0.3191008379
154	0.3186996302
155	0.3184600316
156	0.3182274387
157	0.3179650602
158	0.3177891468
159	0.3175367061
160	0.3174269139
161	0.3172394311
162	0.3170094344
163	0.3168908754
164	0.3166395994
165	0.3164487901
166	0.3160979834
167	0.3158799706
168	0.3157353175
169	0.3155220657
170	0.31536117
171	0.3151372439
172	0.3149717984
173	0.3149258317
174	0.3147446351
175	0.314579319
176	0.31438296
177	0.313759125
178	0.3135115884
179	0.3131427919
180	0.3129559439
181	0.3128372462
182	0.312661792
183	0.3123818751
184	0.3122675146
185	0.3121973705
186	0.3121097883
187	0.3119195999
188	0.3115997437
189	0.3114443254
190	0.3112854188
191	0.3110992764
192	0.3108077885
193	0.3106498326
194	0.3104741657
195	0.3102607829
196	0.3100410445
197	0.3098477238
198	0.3097037856
199	0.3095532022
